raw data,heart rate
0.142324,82.7744
0.13239,84.5805
0.120332,76.2853
0.116204,76.014
0.115019,76.3524
0.101603,72.1998
0.094499,69.1038
0.0880002,68.8815
0.0766936,69.7334
0.0685986,74.8693
0.062671,74.6304
0.0544659,69.2307
0.057436,67.2383
0.0568749,67.3836
0.0443744,70.547
0.0395137,75.7172
0.0343519,79.923
0.0280594,79.9013
0.0196597,74.1087
0.0182055,69.7634
0.0204473,67.5829
0.0221621,69.923
0.0166981,71.8182
0.0160128,78.0199
0.00924611,81.0997
0.00188309,80.5777
0.00442523,77.0301
0.00795482,69.1268
0.00743843,68.1444
0.00577279,65.4459
0.00715004,68.3899
0.00621544,76.2862
-0.000119235,83.0874
-0.00150962,81.2294
-0.00185113,74.3729
0.0015967,68.9832
0.000894792,69.1128
0.00137482,72.4571
0.00400006,78.1841
0.00423255,78.5092
-0.000522946,74.6006
-0.00315128,72.7418
-0.00155326,73.0414
-0.00172043,75.3576
-0.000419608,80.2867
0.00364094,76.1919
0.00123463,71.0701
0.0048201,71.4089
0.00371504,72.797
-0.00240564,77.759
-0.00545176,83.8554
0.000563296,82.2642
0.0010743,77.3196
-0.000844675,73.6641
-0.000824833,72.7181
0.00372264,74.0066
-0.00209071,77.9073
-0.00127332,77.4736
-0.000298527,74.7019
-0.00240312,71.5484
-0.00435079,71.6278
-0.00419988,74.1473
-0.00858559,76.766
0.000940015,82.5315
-0.00653248,86.5734
-0.00624407,83.1685
0.00326105,76.3732
0.00450474,69.2244
0.00816667,70.3579
0.00712531,72.4996
-0.00218084,78.4567
-0.00454152,75.4571
-0.0056224,72.0739
-0.00639634,70.6436
-0.0034671,70.7163
0.00348666,75.1248
0.0110641,72.8658
0.00987646,68.5399
0.00817421,66.9117
0.010971,69.5845
0.000300985,72.3361
-0.0112164,76.5414
-0.0137128,74.2763
-0.0101042,70.7083
-0.00395375,69.9251
-0.00222281,70.2445
-0.00895973,75.2584
-0.00733691,79.6634
-0.0112736,79.02
-0.00879638,76.3956
-0.00686527,73.6372
-0.00612858,68.9921
-0.0169438,68.8919
-0.0224812,70.0355
-0.0240349,75.3618
-0.016102,80.4339
-0.00920003,75.1308
-0.00526921,67.8594
-0.0106186,66.2941
-0.0192582,65.8086
-0.021799,71.1114
-0.0250345,75.8537
-0.00598201,72.3654
0.00186411,68.0919
0.00417154,67.9369
0.00320972,70.7279
-0.00393033,74.2893
-0.00316583,79.3541
-0.00533545,81.0345
-0.00412432,77.5781
0.00419297,71.3974
0.0181632,69.4108
0.0233866,69.9521
0.0190568,75.5317
0.0148857,79.2641
0.0168632,76.4419
0.0141487,72.8939
0.00172711,69.0871
-0.00373176,69.7197
-0.00255025,74.5531
0.00187454,79.3667
0.00630731,75.8972
0.00832194,69.7004
0.00387416,66.0926
-0.00234146,66.3646
-0.0108086,71.0516
-0.0166703,77.0925
-0.0111854,79.0124
-0.0081064,75.4267
-0.014712,74.2899
-0.0190233,74.1673
-0.0137536,75.2731
-0.00941677,78.612
-0.00277091,77.3835
-0.000444982,72.5036
0.00258405,69.8429
0.00551391,69.7874
0.0149867,74.5599
0.0114291,77.6799
0.0136206,78.5135
0.00991794,74.1284
0.00566938,73.1917
0.0131819,73.029
0.0232395,76.7529
0.0254929,79.7289
0.0194642,78.691
0.027169,75.1816
0.0358297,72.0586
0.0295931,71.1927
0.0231908,71.6337
0.0250425,75.5151
0.0205874,77.7583
0.0132266,74.5869
0.0141281,70.9263
0.0218361,70.3146
0.0313339,69.7383
0.0335576,74.5614
0.0283431,79.5238
0.0258818,79.3729
0.0287583,76.7235
0.0225643,72.6993
0.0236377,70.8484
0.0263068,74.4319
0.0250608,77.1302
0.0224795,76.9752
0.0219512,72.5321
0.024436,69.5337
0.022802,68.7063
0.0199504,69.5752
-0.00338853,73.9809
-0.0134052,78.4834
-0.00477183,76.4271
0.00243259,71.5275
0.00754846,69.7518
0.00231056,69.2192
-0.0014794,71.3943
-0.00221436,74.8831
-0.0151167,75.3824
-0.0223953,69.3115
-0.0272961,68.1824
-0.0348442,68.1308
-0.0317772,72.563
-0.0300773,76.6407
-0.0307211,76.4945
-0.0233567,73.195
-0.0217433,68.5637
-0.0140708,69.4038
-0.00260699,72.9867
-0.00644884,40.8466
-0.0137836,81.498
-0.0140926,74.8169
-0.0117442,67.1885
-0.0133721,66.173
-0.0105594,65.6235
-0.00443659,68.9203
-0.00503416,72.218
-0.0117018,69.4739
-0.0071208,68.2713
-0.000511779,70.9625
0.00602506,76.0751
0.00148912,79.6154
-0.00456816,75.8554
-0.00324265,70.8846
-0.000518396,67.838
0.00037153,68.7785
-0.0046152,73.5621
-0.00673674,69.9592
-0.000649743,64.9948
-0.000430305,64.3464
-0.00882681,67.1303
-0.00447561,71.0745
-0.00954475,79.0827
-0.00930592,80.1027
-0.007803,78.5144
-0.00373981,71.2638
-0.000351638,70.3582
0.00171518,73.3101
-0.00530641,76.7002
-0.00377702,72.9143
-0.00599565,69.265
-0.00548985,70.4882
-0.00371718,72.2273
0.000291601,77.4065
-0.00252814,82.2329
-0.00635366,79.7454
-0.000184499,74.8894
0.00675062,72.0848
0.00700219,75.4817
0.00865519,74.9093
0.00539102,69.2823
0.00254162,66.985
0.00203955,69.803
-0.0045406,76.7127
-0.00442592,76.4783
-0.00588202,73.437
-0.00649486,67.5973
-0.00417495,69.889
-0.0133399,73.8443
-0.0110261,79.0678
-0.00437002,74.5258
-0.0134548,72.5047
-0.0166123,72.3137
-0.0190376,76.0636
-0.0273817,74.744
-0.0295233,70.4796
-0.0251531,70.727
-0.030791,74.4535
-0.0330168,75.7631
-0.0412263,71.363
-0.0526755,66.2801
-0.0586304,68.5809
-0.062167,71.3104
-0.0660345,66.7117
-0.064401,63.3983
-0.0645389,65.5383
-0.067081,69.5153
-0.0724938,67.2323
-0.0839898,62.3919
-0.0795319,61.9805
-0.0681483,66.7459
-0.066792,69.3644
-0.0606929,66.8013
-0.0540098,65.3243
-0.0515442,69.9646
-0.0284791,64.0508
-0.0260192,61.9613
-0.0314773,65.1349
-0.0222922,72.8458
-0.00956069,69.6801
-0.0048636,63.4989
0.00675826,66.6997
0.0352471,72.4267
0.0591493,67.2646
0.0764283,60.3296
0.0963724,62.2184
0.125029,69.3743
0.152096,68.3822
0.184904,62.7028
0.2222,68.0438
0.236346,74.9572
0.236915,69.1476
0.248522,65.4212
0.2558,67.742
0.243371,73.9902
0.23048,70.5079
0.196875,63.1287
0.166794,60.6888
0.167866,63.9721
0.178513,70.8813
0.214529,67.0644
0.242829,62.9945
0.217696,65.2619
0.161049,72.516
0.107264,77.1304
0.055916,70.1208
0.00593014,64.8723
-0.0170701,67.2631
-0.0263013,73.3848
-0.0385401,69.5613
-0.065384,66.6695
-0.108394,78.3714
-0.16298,86.0732
-0.205286,80.8413
-0.241716,79.9879
-0.234485,81.6773
-0.218947,73.2653
-0.216529,66.5428
-0.214991,66.366
-0.209041,69.7771
-0.219428,74.708
-0.223849,68.4971
-0.223937,65.678
-0.225201,69.7047
-0.214692,74.7133
-0.204855,65.3704
-0.191136,61.4182
-0.169621,64.1552
-0.15354,70.3861
-0.130546,67.5173
-0.110945,64.8815
-0.0827032,65.1398
-0.0614555,68.5839
-0.042767,66.935
-0.00812156,61.3128
0.0244256,59.2806
0.0411889,64.9721
0.0516235,60.7576
0.0609762,61.5583
0.0612215,65.9121
0.0567922,71.2429
0.0564871,65.0809
0.060686,59.1652
0.0584369,60.3975
0.0548041,63.9098
0.0653656,58.4845
0.0780224,58.4242
0.0774339,63.3465
